NAMELSAD,STUSPS,event_index,ISSUE_TIME,START_TIME,END_TIME
Cuming County,NE,2,202303311200,202303310100,202304031200
Wahkiakum County,WA,1,202303311200,202303310100,202304031200
De Baca County,NM,0,202303311200,202303310100,202304031200
Lancaster County,NE,1,202303311200,202303310100,202304031200
Nuckolls County,NE,1,202303311200,202303310100,202304031200
Las Piedras Municipio,PR,0,202303311200,202303310100,202304031200
Minnehaha County,SD,2,202303311200,202303310100,202304031200
Menard County,TX,1,202303311200,202303310100,202304031200
Sierra County,CA,1,202303311200,202303310100,202304031200
Clinton County,KY,0,202303311200,202303310100,202304031200
Hancock County,OH,0,202303311200,202303310100,202304031200
Hale County,TX,0,202303311200,202303310100,202304031200
Clay County,AL,0,202303311200,202303310100,202304031200
Armstrong County,TX,0,202303311200,202303310100,202304031200
Allen County,OH,1,202303311200,202303310100,202304031200
McDuffie County,GA,1,202303311200,202303310100,202304031200
Sauk County,WI,1,202303311200,202303310100,202304031200
Stone County,AR,1,202303311200,202303310100,202304031200
Wallowa County,OR,1,202303311200,202303310100,202304031200
Beaver County,PA,3,202303311200,202303310100,202304031200
Jasper County,MS,1,202303311200,202303310100,202304031200
Henry County,MO,1,202303311200,202303310100,202304031200
Saguache County,CO,0,202303311200,202303310100,202304031200
Chatham County,NC,2,202303311200,202303310100,202304031200
Rich County,UT,0,202303311200,202303310100,202304031200
Adair County,OK,2,202303311200,202303310100,202304031200
Lake County,OH,1,202303311200,202303310100,202304031200
Salem city,VA,0,202303311200,202303310100,202304031200
Montgomery County,VA,0,202303311200,202303310100,202304031200
Hamilton County,TN,0,202303311200,202303310100,202304031200
Otero County,NM,0,202303311200,202303310100,202304031200
Catron County,NM,0,202303311200,202303310100,202304031200
Marengo County,AL,1,202303311200,202303310100,202304031200
Lincoln County,WY,0,202303311200,202303310100,202304031200
Barton County,MO,1,202303311200,202303310100,202304031200
Calhoun County,TX,0,202303311200,202303310100,202304031200
Poquoson city,VA,2,202303311200,202303310100,202304031200
Pocahontas County,WV,0,202303311200,202303310100,202304031200
Clay County,TX,1,202303311200,202303310100,202304031200
James City County,VA,1,202303311200,202303310100,202304031200
Keith County,NE,1,202303311200,202303310100,202304031200
Phelps County,NE,0,202303311200,202303310100,202304031200
Calcasieu Parish,LA,1,202303311200,202303310100,202304031200
Union Parish,LA,1,202303311200,202303310100,202304031200
Sequoyah County,OK,2,202303311200,202303310100,202304031200
DeKalb County,AL,0,202303311200,202303310100,202304031200
Steuben County,NY,3,202303311200,202303310100,202304031200
Forest County,PA,3,202303311200,202303310100,202304031200
Tangipahoa Parish,LA,1,202303311200,202303310100,202304031200
Stafford County,VA,1,202303311200,202303310100,202304031200
Menominee County,MI,1,202303311200,202303310100,202304031200
Jasper County,IN,1,202303311200,202303310100,202304031200
Brantley County,GA,2,202303311200,202303310100,202304031200
Lamar County,GA,1,202303311200,202303310100,202304031200
