NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,NE,1,TSTM,202304011800,202304011630,202304041200
Wahkiakum County,WA,1,TSTM,202304011800,202304011630,202304041200
De Baca County,NM,0,N/S,202304011800,202304011630,202304041200
Lancaster County,NE,1,TSTM,202304011800,202304011630,202304041200
Nuckolls County,NE,0,N/S,202304011800,202304011630,202304041200
Las Piedras Municipio,PR,0,N/S,202304011800,202304011630,202304041200
Minnehaha County,SD,0,N/S,202304011800,202304011630,202304041200
Menard County,TX,1,TSTM,202304011800,202304011630,202304041200
Sierra County,CA,1,TSTM,202304011800,202304011630,202304041200
Clinton County,KY,0,N/S,202304011800,202304011630,202304041200
Hancock County,OH,1,TSTM,202304011800,202304011630,202304041200
Hale County,TX,0,N/S,202304011800,202304011630,202304041200
Clay County,AL,1,TSTM,202304011800,202304011630,202304041200
Armstrong County,TX,0,N/S,202304011800,202304011630,202304041200
Allen County,OH,1,TSTM,202304011800,202304011630,202304041200
McDuffie County,GA,2,MRGL,202304011800,202304011630,202304041200
Sauk County,WI,0,N/S,202304011800,202304011630,202304041200
Stone County,AR,1,TSTM,202304011800,202304011630,202304041200
Wallowa County,OR,1,TSTM,202304011800,202304011630,202304041200
Beaver County,PA,4,ENH,202304011800,202304011630,202304041200
Jasper County,MS,1,TSTM,202304011800,202304011630,202304041200
Henry County,MO,2,MRGL,202304011800,202304011630,202304041200
Saguache County,CO,0,N/S,202304011800,202304011630,202304041200
Chatham County,NC,1,TSTM,202304011800,202304011630,202304041200
Rich County,UT,0,N/S,202304011800,202304011630,202304041200
Adair County,OK,2,MRGL,202304011800,202304011630,202304041200
Lake County,OH,4,ENH,202304011800,202304011630,202304041200
Salem city,VA,0,N/S,202304011800,202304011630,202304041200
Montgomery County,VA,0,N/S,202304011800,202304011630,202304041200
Hamilton County,TN,1,TSTM,202304011800,202304011630,202304041200
Otero County,NM,0,N/S,202304011800,202304011630,202304041200
Catron County,NM,0,N/S,202304011800,202304011630,202304041200
Marengo County,AL,1,TSTM,202304011800,202304011630,202304041200
Lincoln County,WY,0,N/S,202304011800,202304011630,202304041200
Barton County,MO,2,MRGL,202304011800,202304011630,202304041200
Calhoun County,TX,0,N/S,202304011800,202304011630,202304041200
Poquoson city,VA,2,MRGL,202304011800,202304011630,202304041200
Pocahontas County,WV,1,TSTM,202304011800,202304011630,202304041200
Clay County,TX,3,SLGT,202304011800,202304011630,202304041200
James City County,VA,1,TSTM,202304011800,202304011630,202304041200
Keith County,NE,0,N/S,202304011800,202304011630,202304041200
Phelps County,NE,0,N/S,202304011800,202304011630,202304041200
Calcasieu Parish,LA,1,TSTM,202304011800,202304011630,202304041200
Union Parish,LA,1,TSTM,202304011800,202304011630,202304041200
Sequoyah County,OK,2,MRGL,202304011800,202304011630,202304041200
DeKalb County,AL,1,TSTM,202304011800,202304011630,202304041200
Steuben County,NY,4,ENH,202304011800,202304011630,202304041200
Forest County,PA,4,ENH,202304011800,202304011630,202304041200
Tangipahoa Parish,LA,1,TSTM,202304011800,202304011630,202304041200
Stafford County,VA,1,TSTM,202304011800,202304011630,202304041200
Menominee County,MI,0,N/S,202304011800,202304011630,202304041200
Jasper County,IN,1,TSTM,202304011800,202304011630,202304041200
Brantley County,GA,3,SLGT,202304011800,202304011630,202304041200
Lamar County,GA,1,TSTM,202304011800,202304011630,202304041200
Steuben County,IN,1,TSTM,202304011800,202304011630,202304041200
Orange County,TX,1,TSTM,202304011800,202304011630,202304041200
Fayette County,OH,1,TSTM,202304011800,202304011630,202304041200
Hampshire County,MA,3,SLGT,202304011800,202304011630,202304041200
Allen County,KY,1,TSTM,202304011800,202304011630,202304041200
Alamance County,NC,1,TSTM,202304011800,202304011630,202304041200
Greenwood County,KS,2,MRGL,202304011800,202304011630,202304041200
Suffolk County,MA,2,MRGL,202304011800,202304011630,202304041200
Jefferson County,ID,1,TSTM,202304011800,202304011630,202304041200
Gonzales County,TX,1,TSTM,202304011800,202304011630,202304041200
Marion County,TN,1,TSTM,202304011800,202304011630,202304041200
Alpena County,MI,0,N/S,202304011800,202304011630,202304041200
Wayne County,KY,0,N/S,202304011800,202304011630,202304041200
White County,TN,1,TSTM,202304011800,202304011630,202304041200
Fannin County,TX,2,MRGL,202304011800,202304011630,202304041200
Doniphan County,KS,2,MRGL,202304011800,202304011630,202304041200
Kerr County,TX,1,TSTM,202304011800,202304011630,202304041200
Hernando County,FL,1,TSTM,202304011800,202304011630,202304041200
Wakulla County,FL,1,TSTM,202304011800,202304011630,202304041200
Walton County,FL,2,MRGL,202304011800,202304011630,202304041200
Chickasaw County,MS,1,TSTM,202304011800,202304011630,202304041200
Ketchikan Gateway Borough,AK,0,N/S,202304011800,202304011630,202304041200
Clare County,MI,0,N/S,202304011800,202304011630,202304041200
Republic County,KS,0,N/S,202304011800,202304011630,202304041200
Volusia County,FL,0,N/S,202304011800,202304011630,202304041200
Canadian County,OK,1,TSTM,202304011800,202304011630,202304041200
Quebradillas Municipio,PR,0,N/S,202304011800,202304011630,202304041200
St. Thomas Island,VI,0,N/S,202304011800,202304011630,202304041200
Floyd County,GA,1,TSTM,202304011800,202304011630,202304041200
Churchill County,NV,0,N/S,202304011800,202304011630,202304041200
Webster County,NE,0,N/S,202304011800,202304011630,202304041200
Hancock County,IL,1,TSTM,202304011800,202304011630,202304041200
Hutchinson County,SD,0,N/S,202304011800,202304011630,202304041200
Crook County,OR,1,TSTM,202304011800,202304011630,202304041200
Franklin County,VT,1,TSTM,202304011800,202304011630,202304041200
Marquette County,MI,0,N/S,202304011800,202304011630,202304041200
Davidson County,NC,0,N/S,202304011800,202304011630,202304041200
Clay County,IL,1,TSTM,202304011800,202304011630,202304041200
Knox County,MO,1,TSTM,202304011800,202304011630,202304041200
Livingston County,MO,1,TSTM,202304011800,202304011630,202304041200
Tioga County,PA,4,ENH,202304011800,202304011630,202304041200
Dakota County,NE,1,TSTM,202304011800,202304011630,202304041200
Leelanau County,MI,0,N/S,202304011800,202304011630,202304041200
Surry County,VA,1,TSTM,202304011800,202304011630,202304041200
Refugio County,TX,0,N/S,202304011800,202304011630,202304041200
Butler County,OH,1,TSTM,202304011800,202304011630,202304041200
Terrell County,GA,3,SLGT,202304011800,202304011630,202304041200
Clayton County,GA,1,TSTM,202304011800,202304011630,202304041200
Fremont County,WY,0,N/S,202304011800,202304011630,202304041200
Ohio County,IN,1,TSTM,202304011800,202304011630,202304041200
Columbia County,GA,2,MRGL,202304011800,202304011630,202304041200
Sedgwick County,CO,0,N/S,202304011800,202304011630,202304041200
Musselshell County,MT,1,TSTM,202304011800,202304011630,202304041200
Dauphin County,PA,4,ENH,202304011800,202304011630,202304041200
Moody County,SD,0,N/S,202304011800,202304011630,202304041200
Putnam County,WV,0,N/S,202304011800,202304011630,202304041200
Sussex County,NJ,4,ENH,202304011800,202304011630,202304041200
Decatur County,KS,0,N/S,202304011800,202304011630,202304041200
Perry County,IN,1,TSTM,202304011800,202304011630,202304041200
Union County,MS,1,TSTM,202304011800,202304011630,202304041200
Boyd County,NE,0,N/S,202304011800,202304011630,202304041200
Mille Lacs County,MN,0,N/S,202304011800,202304011630,202304041200
Walsh County,ND,0,N/S,202304011800,202304011630,202304041200
Morgan County,OH,2,MRGL,202304011800,202304011630,202304041200
Portage County,OH,4,ENH,202304011800,202304011630,202304041200
Uinta County,WY,0,N/S,202304011800,202304011630,202304041200
Humboldt County,NV,0,N/S,202304011800,202304011630,202304041200
