NAMELSAD,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,0,N/S,202401290600,202401291200,202402051200
Wahkiakum County,0,N/S,202401290600,202401291200,202402051200
De Baca County,0,N/S,202401290600,202401291200,202402051200
Lancaster County,0,N/S,202401290600,202401291200,202402051200
Nuckolls County,0,N/S,202401290600,202401291200,202402051200
Las Piedras Municipio,0,N/S,202401290600,202401291200,202402051200
Minnehaha County,0,N/S,202401290600,202401291200,202402051200
Menard County,0,N/S,202401290600,202401291200,202402051200
Sierra County,0,N/S,202401290600,202401291200,202402051200
Clinton County,0,N/S,202401290600,202401291200,202402051200
Hancock County,0,N/S,202401290600,202401291200,202402051200
Hale County,0,N/S,202401290600,202401291200,202402051200
Clay County,0,N/S,202401290600,202401291200,202402051200
Armstrong County,0,N/S,202401290600,202401291200,202402051200
Allen County,0,N/S,202401290600,202401291200,202402051200
McDuffie County,0,N/S,202401290600,202401291200,202402051200
Sauk County,0,N/S,202401290600,202401291200,202402051200
Stone County,0,N/S,202401290600,202401291200,202402051200
Wallowa County,0,N/S,202401290600,202401291200,202402051200
Beaver County,0,N/S,202401290600,202401291200,202402051200
Jasper County,0,N/S,202401290600,202401291200,202402051200
Henry County,0,N/S,202401290600,202401291200,202402051200
Saguache County,0,N/S,202401290600,202401291200,202402051200
Chatham County,0,N/S,202401290600,202401291200,202402051200
Rich County,0,N/S,202401290600,202401291200,202402051200
Adair County,0,N/S,202401290600,202401291200,202402051200
Lake County,0,N/S,202401290600,202401291200,202402051200
Salem city,0,N/S,202401290600,202401291200,202402051200
Montgomery County,0,N/S,202401290600,202401291200,202402051200
Hamilton County,0,N/S,202401290600,202401291200,202402051200
Otero County,0,N/S,202401290600,202401291200,202402051200
Catron County,0,N/S,202401290600,202401291200,202402051200
Marengo County,0,N/S,202401290600,202401291200,202402051200
Lincoln County,0,N/S,202401290600,202401291200,202402051200
Barton County,0,N/S,202401290600,202401291200,202402051200
Calhoun County,0,N/S,202401290600,202401291200,202402051200
Poquoson city,0,N/S,202401290600,202401291200,202402051200
Pocahontas County,0,N/S,202401290600,202401291200,202402051200
Clay County,0,N/S,202401290600,202401291200,202402051200
James City County,0,N/S,202401290600,202401291200,202402051200
Keith County,0,N/S,202401290600,202401291200,202402051200
Phelps County,0,N/S,202401290600,202401291200,202402051200
Calcasieu Parish,0,N/S,202401290600,202401291200,202402051200
Union Parish,0,N/S,202401290600,202401291200,202402051200
Sequoyah County,0,N/S,202401290600,202401291200,202402051200
DeKalb County,0,N/S,202401290600,202401291200,202402051200
Steuben County,0,N/S,202401290600,202401291200,202402051200
Forest County,0,N/S,202401290600,202401291200,202402051200
Tangipahoa Parish,0,N/S,202401290600,202401291200,202402051200
Stafford County,0,N/S,202401290600,202401291200,202402051200
Menominee County,0,N/S,202401290600,202401291200,202402051200
Jasper County,0,N/S,202401290600,202401291200,202402051200
Brantley County,0,N/S,202401290600,202401291200,202402051200
Lamar County,0,N/S,202401290600,202401291200,202402051200
Steuben County,0,N/S,202401290600,202401291200,202402051200
Orange County,0,N/S,202401290600,202401291200,202402051200
Fayette County,0,N/S,202401290600,202401291200,202402051200
Hampshire County,0,N/S,202401290600,202401291200,202402051200
Allen County,0,N/S,202401290600,202401291200,202402051200
Alamance County,0,N/S,202401290600,202401291200,202402051200
Greenwood County,0,N/S,202401290600,202401291200,202402051200
Suffolk County,0,N/S,202401290600,202401291200,202402051200
Jefferson County,0,N/S,202401290600,202401291200,202402051200
