NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,NE,0,N/S,202401300600,202401301200,202402061200
Wahkiakum County,WA,0,N/S,202401300600,202401301200,202402061200
De Baca County,NM,0,N/S,202401300600,202401301200,202402061200
Lancaster County,NE,0,N/S,202401300600,202401301200,202402061200
Nuckolls County,NE,0,N/S,202401300600,202401301200,202402061200
Las Piedras Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Minnehaha County,SD,0,N/S,202401300600,202401301200,202402061200
Menard County,TX,0,N/S,202401300600,202401301200,202402061200
Sierra County,CA,0,N/S,202401300600,202401301200,202402061200
Clinton County,KY,0,N/S,202401300600,202401301200,202402061200
Hancock County,OH,0,N/S,202401300600,202401301200,202402061200
Hale County,TX,0,N/S,202401300600,202401301200,202402061200
Clay County,AL,0,N/S,202401300600,202401301200,202402061200
Armstrong County,TX,0,N/S,202401300600,202401301200,202402061200
Allen County,OH,0,N/S,202401300600,202401301200,202402061200
McDuffie County,GA,0,N/S,202401300600,202401301200,202402061200
Sauk County,WI,0,N/S,202401300600,202401301200,202402061200
Stone County,AR,0,N/S,202401300600,202401301200,202402061200
Wallowa County,OR,0,N/S,202401300600,202401301200,202402061200
Beaver County,PA,0,N/S,202401300600,202401301200,202402061200
Jasper County,MS,0,N/S,202401300600,202401301200,202402061200
Henry County,MO,0,N/S,202401300600,202401301200,202402061200
Saguache County,CO,0,N/S,202401300600,202401301200,202402061200
Chatham County,NC,0,N/S,202401300600,202401301200,202402061200
Rich County,UT,0,N/S,202401300600,202401301200,202402061200
Adair County,OK,0,N/S,202401300600,202401301200,202402061200
Lake County,OH,0,N/S,202401300600,202401301200,202402061200
Salem city,VA,0,N/S,202401300600,202401301200,202402061200
Montgomery County,VA,0,N/S,202401300600,202401301200,202402061200
Hamilton County,TN,0,N/S,202401300600,202401301200,202402061200
Otero County,NM,0,N/S,202401300600,202401301200,202402061200
Catron County,NM,0,N/S,202401300600,202401301200,202402061200
Marengo County,AL,0,N/S,202401300600,202401301200,202402061200
Lincoln County,WY,0,N/S,202401300600,202401301200,202402061200
Barton County,MO,0,N/S,202401300600,202401301200,202402061200
Calhoun County,TX,0,N/S,202401300600,202401301200,202402061200
Poquoson city,VA,0,N/S,202401300600,202401301200,202402061200
Pocahontas County,WV,0,N/S,202401300600,202401301200,202402061200
Clay County,TX,0,N/S,202401300600,202401301200,202402061200
James City County,VA,0,N/S,202401300600,202401301200,202402061200
Keith County,NE,0,N/S,202401300600,202401301200,202402061200
Phelps County,NE,0,N/S,202401300600,202401301200,202402061200
Calcasieu Parish,LA,0,N/S,202401300600,202401301200,202402061200
Union Parish,LA,0,N/S,202401300600,202401301200,202402061200
Sequoyah County,OK,0,N/S,202401300600,202401301200,202402061200
DeKalb County,AL,0,N/S,202401300600,202401301200,202402061200
Steuben County,NY,0,N/S,202401300600,202401301200,202402061200
Forest County,PA,0,N/S,202401300600,202401301200,202402061200
Tangipahoa Parish,LA,0,N/S,202401300600,202401301200,202402061200
Stafford County,VA,0,N/S,202401300600,202401301200,202402061200
Menominee County,MI,0,N/S,202401300600,202401301200,202402061200
Jasper County,IN,0,N/S,202401300600,202401301200,202402061200
Brantley County,GA,0,N/S,202401300600,202401301200,202402061200
Lamar County,GA,0,N/S,202401300600,202401301200,202402061200
Steuben County,IN,0,N/S,202401300600,202401301200,202402061200
Orange County,TX,0,N/S,202401300600,202401301200,202402061200
Fayette County,OH,0,N/S,202401300600,202401301200,202402061200
Hampshire County,MA,0,N/S,202401300600,202401301200,202402061200
Allen County,KY,0,N/S,202401300600,202401301200,202402061200
Alamance County,NC,0,N/S,202401300600,202401301200,202402061200
Greenwood County,KS,0,N/S,202401300600,202401301200,202402061200
Suffolk County,MA,0,N/S,202401300600,202401301200,202402061200
Jefferson County,ID,0,N/S,202401300600,202401301200,202402061200
Gonzales County,TX,0,N/S,202401300600,202401301200,202402061200
Marion County,TN,0,N/S,202401300600,202401301200,202402061200
Alpena County,MI,0,N/S,202401300600,202401301200,202402061200
Wayne County,KY,0,N/S,202401300600,202401301200,202402061200
White County,TN,0,N/S,202401300600,202401301200,202402061200
Fannin County,TX,0,N/S,202401300600,202401301200,202402061200
Doniphan County,KS,0,N/S,202401300600,202401301200,202402061200
Kerr County,TX,0,N/S,202401300600,202401301200,202402061200
Hernando County,FL,0,N/S,202401300600,202401301200,202402061200
Wakulla County,FL,0,N/S,202401300600,202401301200,202402061200
Walton County,FL,0,N/S,202401300600,202401301200,202402061200
Chickasaw County,MS,0,N/S,202401300600,202401301200,202402061200
Ketchikan Gateway Borough,AK,0,N/S,202401300600,202401301200,202402061200
Clare County,MI,0,N/S,202401300600,202401301200,202402061200
Republic County,KS,0,N/S,202401300600,202401301200,202402061200
Volusia County,FL,0,N/S,202401300600,202401301200,202402061200
Canadian County,OK,0,N/S,202401300600,202401301200,202402061200
Quebradillas Municipio,PR,0,N/S,202401300600,202401301200,202402061200
St. Thomas Island,VI,0,N/S,202401300600,202401301200,202402061200
Floyd County,GA,0,N/S,202401300600,202401301200,202402061200
Churchill County,NV,0,N/S,202401300600,202401301200,202402061200
Webster County,NE,0,N/S,202401300600,202401301200,202402061200
Hancock County,IL,0,N/S,202401300600,202401301200,202402061200
Hutchinson County,SD,0,N/S,202401300600,202401301200,202402061200
Crook County,OR,0,N/S,202401300600,202401301200,202402061200
Franklin County,VT,0,N/S,202401300600,202401301200,202402061200
Marquette County,MI,0,N/S,202401300600,202401301200,202402061200
Davidson County,NC,0,N/S,202401300600,202401301200,202402061200
Clay County,IL,0,N/S,202401300600,202401301200,202402061200
Knox County,MO,0,N/S,202401300600,202401301200,202402061200
Livingston County,MO,0,N/S,202401300600,202401301200,202402061200
Tioga County,PA,0,N/S,202401300600,202401301200,202402061200
Dakota County,NE,0,N/S,202401300600,202401301200,202402061200
Leelanau County,MI,0,N/S,202401300600,202401301200,202402061200
Surry County,VA,0,N/S,202401300600,202401301200,202402061200
Refugio County,TX,0,N/S,202401300600,202401301200,202402061200
Butler County,OH,0,N/S,202401300600,202401301200,202402061200
Terrell County,GA,0,N/S,202401300600,202401301200,202402061200
Clayton County,GA,0,N/S,202401300600,202401301200,202402061200
Fremont County,WY,0,N/S,202401300600,202401301200,202402061200
Ohio County,IN,0,N/S,202401300600,202401301200,202402061200
Columbia County,GA,0,N/S,202401300600,202401301200,202402061200
Sedgwick County,CO,0,N/S,202401300600,202401301200,202402061200
Musselshell County,MT,0,N/S,202401300600,202401301200,202402061200
Dauphin County,PA,0,N/S,202401300600,202401301200,202402061200
Moody County,SD,0,N/S,202401300600,202401301200,202402061200
Putnam County,WV,0,N/S,202401300600,202401301200,202402061200
Sussex County,NJ,0,N/S,202401300600,202401301200,202402061200
Decatur County,KS,0,N/S,202401300600,202401301200,202402061200
Perry County,IN,0,N/S,202401300600,202401301200,202402061200
Union County,MS,0,N/S,202401300600,202401301200,202402061200
Boyd County,NE,0,N/S,202401300600,202401301200,202402061200
Mille Lacs County,MN,0,N/S,202401300600,202401301200,202402061200
Walsh County,ND,0,N/S,202401300600,202401301200,202402061200
Morgan County,OH,0,N/S,202401300600,202401301200,202402061200
Portage County,OH,0,N/S,202401300600,202401301200,202402061200
Uinta County,WY,0,N/S,202401300600,202401301200,202402061200
Humboldt County,NV,0,N/S,202401300600,202401301200,202402061200
Jim Hogg County,TX,0,N/S,202401300600,202401301200,202402061200
Cheyenne County,CO,0,N/S,202401300600,202401301200,202402061200
Clackamas County,OR,0,N/S,202401300600,202401301200,202402061200
Polk County,AR,0,N/S,202401300600,202401301200,202402061200
Macon County,GA,0,N/S,202401300600,202401301200,202402061200
Benton County,IN,0,N/S,202401300600,202401301200,202402061200
Morgan County,TN,0,N/S,202401300600,202401301200,202402061200
Douglas County,SD,0,N/S,202401300600,202401301200,202402061200
Worcester County,MD,0,N/S,202401300600,202401301200,202402061200
Wabash County,IL,0,N/S,202401300600,202401301200,202402061200
Huntington County,IN,0,N/S,202401300600,202401301200,202402061200
Scott County,KY,0,N/S,202401300600,202401301200,202402061200
Decatur County,IA,0,N/S,202401300600,202401301200,202402061200
Wabash County,IN,0,N/S,202401300600,202401301200,202402061200
Allen County,IN,0,N/S,202401300600,202401301200,202402061200
Marshall County,IN,0,N/S,202401300600,202401301200,202402061200
Thomas County,NE,0,N/S,202401300600,202401301200,202402061200
