NAMELSAD,STUSPS,category_x,event_index,category_y
Wahkiakum County,WA,TSTM,1.0,TSTM
Hancock County,OH,TSTM,1.0,TSTM
Allen County,OH,TSTM,1.0,TSTM
Henry County,MO,TSTM,1.0,TSTM
Lake County,OH,TSTM,1.0,TSTM
Jasper County,IN,TSTM,1.0,TSTM
Steuben County,IN,TSTM,1.0,TSTM
Hancock County,IL,TSTM,1.0,TSTM
Clay County,IL,TSTM,1.0,TSTM
Knox County,MO,TSTM,1.0,TSTM
Livingston County,MO,TSTM,1.0,TSTM
Butler County,OH,TSTM,1.0,TSTM
Portage County,OH,TSTM,1.0,TSTM
Clackamas County,OR,TSTM,1.0,TSTM
Benton County,IN,TSTM,1.0,TSTM
Wabash County,IL,TSTM,1.0,TSTM
Huntington County,IN,TSTM,1.0,TSTM
Decatur County,IA,TSTM,1.0,TSTM
Wabash County,IN,TSTM,1.0,TSTM
Allen County,IN,TSTM,1.0,TSTM
Marshall County,IN,TSTM,1.0,TSTM
McLean County,IL,TSTM,1.0,TSTM
Johnson County,MO,TSTM,1.0,TSTM
Bond County,IL,TSTM,1.0,TSTM
Brown County,IL,TSTM,1.0,TSTM
Madison County,MO,TSTM,1.0,TSTM
Clatsop County,OR,TSTM,1.0,TSTM
Lewis County,WA,TSTM,1.0,TSTM
Newton County,IN,TSTM,1.0,TSTM
Jersey County,IL,TSTM,1.0,TSTM
Fulton County,AR,TSTM,1.0,TSTM
Piatt County,IL,TSTM,1.0,TSTM
Pope County,IL,TSTM,1.0,TSTM
Jefferson County,IA,TSTM,1.0,TSTM
Sanilac County,MI,TSTM,1.0,TSTM
Wayne County,MI,TSTM,1.0,TSTM
Maries County,MO,TSTM,1.0,TSTM
Bureau County,IL,TSTM,1.0,TSTM
Multnomah County,OR,TSTM,1.0,TSTM
Reynolds County,MO,TSTM,1.0,TSTM
Paulding County,OH,TSTM,1.0,TSTM
Wells County,IN,TSTM,1.0,TSTM
Ringgold County,IA,TSTM,1.0,TSTM
Warren County,IN,TSTM,1.0,TSTM
Lake County,IN,TSTM,1.0,TSTM
Coles County,IL,TSTM,1.0,TSTM
Van Buren County,MI,TSTM,1.0,TSTM
Mercer County,IL,TSTM,1.0,TSTM
Effingham County,IL,TSTM,1.0,TSTM
Tippecanoe County,IN,TSTM,1.0,TSTM
Pitkin County,CO,TSTM,1.0,TSTM
LaPorte County,IN,TSTM,1.0,TSTM
Hamilton County,IN,TSTM,1.0,TSTM
Henry County,OH,TSTM,1.0,TSTM
Posey County,IN,TSTM,1.0,TSTM
Cumberland County,IL,TSTM,1.0,TSTM
Crawford County,IL,TSTM,1.0,TSTM
Fulton County,OH,TSTM,1.0,TSTM
Decatur County,IN,TSTM,1.0,TSTM
Fulton County,IL,TSTM,1.0,TSTM
Union County,IN,TSTM,1.0,TSTM
Clinton County,MI,TSTM,1.0,TSTM
Montgomery County,IL,TSTM,1.0,TSTM
Macon County,IL,TSTM,1.0,TSTM
St. Joseph County,MI,TSTM,1.0,TSTM
Franklin County,IL,TSTM,1.0,TSTM
Franklin County,IN,TSTM,1.0,TSTM
Benton County,OR,TSTM,1.0,TSTM
Boone County,MO,TSTM,1.0,TSTM
Harrison County,MO,TSTM,1.0,TSTM
Bartholomew County,IN,TSTM,1.0,TSTM
Logan County,OH,TSTM,1.0,TSTM
Cass County,MO,TSTM,1.0,TSTM
Douglas County,MO,TSTM,1.0,TSTM
Clark County,IL,TSTM,1.0,TSTM
Trumbull County,OH,TSTM,1.0,TSTM
Webster County,MO,TSTM,1.0,TSTM
Cass County,IN,TSTM,1.0,TSTM
Carroll County,IN,TSTM,1.0,TSTM
Iron County,MO,TSTM,1.0,TSTM
Montgomery County,IN,TSTM,1.0,TSTM
Gibson County,IN,TSTM,1.0,TSTM
Kendall County,IL,TSTM,1.0,TSTM
Eagle County,CO,TSTM,1.0,TSTM
Grundy County,MO,TSTM,1.0,TSTM
Cook County,IL,TSTM,1.0,TSTM
Gallatin County,IL,TSTM,1.0,TSTM
Pike County,MO,TSTM,1.0,TSTM
Scott County,MO,TSTM,1.0,TSTM
Crawford County,OH,TSTM,1.0,TSTM
Barry County,MI,TSTM,1.0,TSTM
Clarke County,IA,TSTM,1.0,TSTM
Van Wert County,OH,TSTM,1.0,TSTM
Howard County,MO,TSTM,1.0,TSTM
Marion County,OR,TSTM,1.0,TSTM
Jackson County,MI,TSTM,1.0,TSTM
Vermillion County,IN,TSTM,1.0,TSTM
Stark County,IL,TSTM,1.0,TSTM
Washington County,MO,TSTM,1.0,TSTM
Richland County,OH,TSTM,1.0,TSTM
Adams County,IL,TSTM,1.0,TSTM
Champaign County,OH,TSTM,1.0,TSTM
Iroquois County,IL,TSTM,1.0,TSTM
Wayne County,OH,TSTM,1.0,TSTM
Ford County,IL,TSTM,1.0,TSTM
Randolph County,AR,TSTM,1.0,TSTM
Douglas County,IL,TSTM,1.0,TSTM
Miller County,MO,TSTM,1.0,TSTM
Platte County,MO,TSTM,1.0,TSTM
Buchanan County,MO,TSTM,1.0,TSTM
Henry County,IN,TSTM,1.0,TSTM
Ottawa County,OH,TSTM,1.0,TSTM
Cole County,MO,TSTM,1.0,TSTM
Berrien County,MI,TSTM,1.0,TSTM
St. Clair County,IL,TSTM,1.0,TSTM
Washington County,IL,TSTM,1.0,TSTM
Scott County,IL,TSTM,1.0,TSTM
Richland County,IL,TSTM,1.0,TSTM
Ralls County,MO,TSTM,1.0,TSTM
Coos County,OR,TSTM,1.0,TSTM
Menard County,IL,TSTM,1.0,TSTM
Fulton County,IN,TSTM,1.0,TSTM
Johnson County,KS,TSTM,1.0,TSTM
Jefferson County,WA,TSTM,1.0,TSTM
Andrew County,MO,TSTM,1.0,TSTM
Montgomery County,MO,TSTM,1.0,TSTM
Linn County,OR,TSTM,1.0,TSTM
Ozark County,MO,TSTM,1.0,TSTM
Clark County,OH,TSTM,1.0,TSTM
Porter County,IN,TSTM,1.0,TSTM
Hamilton County,IL,TSTM,1.0,TSTM
Delta County,CO,TSTM,1.0,TSTM
Wayne County,IA,TSTM,1.0,TSTM
Marion County,MO,TSTM,1.0,TSTM
Garfield County,CO,TSTM,1.0,TSTM
Ray County,MO,TSTM,1.0,TSTM
Miami County,OH,TSTM,1.0,TSTM
Butler County,MO,TSTM,1.0,TSTM
Greene County,IN,TSTM,1.0,TSTM
Rush County,IN,TSTM,1.0,TSTM
Laclede County,MO,TSTM,1.0,TSTM
Saline County,MO,TSTM,1.0,TSTM
White County,IL,TSTM,1.0,TSTM
De Witt County,IL,TSTM,1.0,TSTM
White Pine County,NV,TSTM,1.0,TSTM
Franklin County,MO,TSTM,1.0,TSTM
Chariton County,MO,TSTM,1.0,TSTM
Putnam County,IL,TSTM,1.0,TSTM
Schuyler County,IL,TSTM,1.0,TSTM
Ingham County,MI,TSTM,1.0,TSTM
Johnson County,IN,TSTM,1.0,TSTM
Delaware County,OH,TSTM,1.0,TSTM
Wayne County,MO,TSTM,1.0,TSTM
Lapeer County,MI,TSTM,1.0,TSTM
Cedar County,MO,TSTM,1.0,TSTM
Darke County,OH,TSTM,1.0,TSTM
Tillamook County,OR,TSTM,1.0,TSTM
Owen County,IN,TSTM,1.0,TSTM
Bollinger County,MO,TSTM,1.0,TSTM
Union County,IL,TSTM,1.0,TSTM
Kankakee County,IL,TSTM,1.0,TSTM
Randolph County,MO,TSTM,1.0,TSTM
Clinton County,IN,TSTM,1.0,TSTM
Clinton County,IL,TSTM,1.0,TSTM
Lane County,OR,TSTM,1.0,TSTM
Shiawassee County,MI,TSTM,1.0,TSTM
Hancock County,IN,TSTM,1.0,TSTM
Williamson County,IL,TSTM,1.0,TSTM
St. Clair County,MI,TSTM,1.0,TSTM
Randolph County,IN,TSTM,1.0,TSTM
Livingston County,MI,TSTM,1.0,TSTM
Greene County,OH,TSTM,1.0,TSTM
Appanoose County,IA,TSTM,1.0,TSTM
Oregon County,MO,TSTM,1.0,TSTM
Vigo County,IN,TSTM,1.0,TSTM
Elkhart County,IN,TSTM,1.0,TSTM
Ashland County,OH,TSTM,1.0,TSTM
Dallas County,MO,TSTM,1.0,TSTM
Wyandotte County,KS,TSTM,1.0,TSTM
Tuscola County,MI,TSTM,1.0,TSTM
Lucas County,OH,TSTM,1.0,TSTM
Mason County,IL,TSTM,1.0,TSTM
Ashtabula County,OH,TSTM,1.0,TSTM
Livingston County,IL,TSTM,1.0,TSTM
Preble County,OH,TSTM,1.0,TSTM
Washtenaw County,MI,TSTM,1.0,TSTM
LaGrange County,IN,TSTM,1.0,TSTM
Stark County,OH,TSTM,1.0,TSTM
Island County,WA,TSTM,1.0,TSTM
Clallam County,WA,TSTM,1.0,TSTM
Van Buren County,IA,TSTM,1.0,TSTM
Mahoning County,OH,TSTM,1.0,TSTM
Wayne County,IL,TSTM,1.0,TSTM
Osage County,MO,TSTM,1.0,TSTM
Douglas County,OR,TSTM,1.0,TSTM
Salt Lake County,UT,TSTM,1.0,TSTM
Tuscarawas County,OH,TSTM,1.0,TSTM
Knox County,IN,TSTM,1.0,TSTM
Hillsdale County,MI,TSTM,1.0,TSTM
Gasconade County,MO,TSTM,1.0,TSTM
Pulaski County,IN,TSTM,1.0,TSTM
St. Charles County,MO,TSTM,1.0,TSTM
Columbia County,OR,TSTM,1.0,TSTM
Brown County,IN,TSTM,1.0,TSTM
Grundy County,IL,TSTM,1.0,TSTM
Crawford County,MO,TSTM,1.0,TSTM
Lafayette County,MO,TSTM,1.0,TSTM
Morrow County,OH,TSTM,1.0,TSTM
Ste. Genevieve County,MO,TSTM,1.0,TSTM
McDonough County,IL,TSTM,1.0,TSTM
Clark County,MO,TSTM,1.0,TSTM
Worth County,MO,TSTM,1.0,TSTM
Gratiot County,MI,TSTM,1.0,TSTM
Massac County,IL,TSTM,1.0,TSTM
Morgan County,IN,TSTM,1.0,TSTM
Grant County,IN,TSTM,1.0,TSTM
Henry County,IL,TSTM,1.0,TSTM
Lincoln County,OR,TSTM,1.0,TSTM
Clay County,AR,TSTM,1.0,TSTM
Greene County,IL,TSTM,1.0,TSTM
St. Joseph County,IN,TSTM,1.0,TSTM
Phelps County,MO,TSTM,1.0,TSTM
Starke County,IN,TSTM,1.0,TSTM
Hickory County,MO,TSTM,1.0,TSTM
Randolph County,IL,TSTM,1.0,TSTM
Marion County,OH,TSTM,1.0,TSTM
Pike County,IL,TSTM,1.0,TSTM
Woodford County,IL,TSTM,1.0,TSTM
Perry County,IL,TSTM,1.0,TSTM
Routt County,CO,TSTM,1.0,TSTM
Johnson County,IL,TSTM,1.0,TSTM
Erie County,PA,TSTM,1.0,TSTM
Fountain County,IN,TSTM,1.0,TSTM
Shelby County,IL,TSTM,1.0,TSTM
Fayette County,IL,TSTM,1.0,TSTM
Polk County,MO,TSTM,1.0,TSTM
Genesee County,MI,TSTM,1.0,TSTM
Tipton County,IN,TSTM,1.0,TSTM
Caldwell County,MO,TSTM,1.0,TSTM
Lewis County,MO,TSTM,1.0,TSTM
Moultrie County,IL,TSTM,1.0,TSTM
Calhoun County,MI,TSTM,1.0,TSTM
Cass County,IL,TSTM,1.0,TSTM
Sangamon County,IL,TSTM,1.0,TSTM
Ripley County,MO,TSTM,1.0,TSTM
Tazewell County,IL,TSTM,1.0,TSTM
Sharp County,AR,TSTM,1.0,TSTM
Warren County,MO,TSTM,1.0,TSTM
LaSalle County,IL,TSTM,1.0,TSTM
Davis County,IA,TSTM,1.0,TSTM
Delaware County,IN,TSTM,1.0,TSTM
Jackson County,MO,TSTM,1.0,TSTM
Stoddard County,MO,TSTM,1.0,TSTM
Pulaski County,MO,TSTM,1.0,TSTM
Gentry County,MO,TSTM,1.0,TSTM
Adair County,MO,TSTM,1.0,TSTM
