NAMELSAD,STUSPS,category,event_index
Wahkiakum County,WA,TSTM,1.0
Sierra County,CA,TSTM,1.0
Clay County,AL,TSTM,1.0
Wallowa County,OR,TSTM,1.0
Rich County,UT,TSTM,1.0
Hamilton County,TN,TSTM,1.0
Marengo County,AL,TSTM,1.0
Lincoln County,WY,TSTM,1.0
DeKalb County,AL,TSTM,1.0
Brantley County,GA,TSTM,1.0
Lamar County,GA,TSTM,1.0
Jefferson County,ID,TSTM,1.0
Marion County,TN,TSTM,1.0
Hernando County,FL,TSTM,1.0
Wakulla County,FL,TSTM,1.0
Walton County,FL,TSTM,1.0
Volusia County,FL,TSTM,1.0
Floyd County,GA,TSTM,1.0
Terrell County,GA,TSTM,1.0
Clayton County,GA,TSTM,1.0
Uinta County,WY,TSTM,1.0
Clackamas County,OR,TSTM,1.0
Macon County,GA,TSTM,1.0
Fillmore County,MN,TSTM,1.0
Cache County,UT,TSTM,1.0
Pierce County,WI,TSTM,1.0
Charlton County,GA,TSTM,1.0
Polk County,GA,TSTM,1.0
La Crosse County,WI,TSTM,1.0
Dunn County,WI,TSTM,1.0
Jackson County,WI,TSTM,1.0
Clatsop County,OR,TSTM,1.0
Lewis County,WA,TSTM,1.0
DeKalb County,GA,TSTM,1.0
Pickens County,GA,TSTM,1.0
Monroe County,TN,TSTM,1.0
Gem County,ID,TSTM,1.0
Hendry County,FL,TSTM,1.0
Klamath County,OR,TSTM,1.0
Cherokee County,AL,TSTM,1.0
Robeson County,NC,TSTM,1.0
Orange County,FL,TSTM,1.0
Franklin County,ID,TSTM,1.0
Carroll County,GA,TSTM,1.0
Madison County,ID,TSTM,1.0
Hale County,AL,TSTM,1.0
Perry County,AL,TSTM,1.0
Cook County,GA,TSTM,1.0
Duchesne County,UT,TSTM,1.0
Jackson County,OR,TSTM,1.0
Broward County,FL,TSTM,1.0
Toombs County,GA,TSTM,1.0
Jerome County,ID,TSTM,1.0
Custer County,ID,TSTM,1.0
Howard County,IA,TSTM,1.0
Palm Beach County,FL,TSTM,1.0
Butler County,AL,TSTM,1.0
Multnomah County,OR,TSTM,1.0
Sacramento County,CA,TSTM,1.0
Dodge County,MN,TSTM,1.0
Freeborn County,MN,TSTM,1.0
Calaveras County,CA,TSTM,1.0
Baker County,OR,TSTM,1.0
Gilchrist County,FL,TSTM,1.0
Miami-Dade County,FL,TSTM,1.0
Harris County,GA,TSTM,1.0
Walton County,GA,TSTM,1.0
Gordon County,GA,TSTM,1.0
Highlands County,FL,TSTM,1.0
Citrus County,FL,TSTM,1.0
Williamsburg County,SC,TSTM,1.0
Lee County,AL,TSTM,1.0
Upson County,GA,TSTM,1.0
Sonoma County,CA,TSTM,1.0
Bonneville County,ID,TSTM,1.0
Barrow County,GA,TSTM,1.0
Long County,GA,TSTM,1.0
Olmsted County,MN,TSTM,1.0
Mobile County,AL,TSTM,1.0
Chambers County,AL,TSTM,1.0
Beaufort County,NC,TSTM,1.0
Iron County,MI,TSTM,1.0
Ontonagon County,MI,TSTM,1.0
Benton County,OR,TSTM,1.0
Baraga County,MI,TSTM,1.0
Paulding County,GA,TSTM,1.0
Crawford County,GA,TSTM,1.0
Placer County,CA,TSTM,1.0
Dorchester County,SC,TSTM,1.0
Waseca County,MN,TSTM,1.0
Berkeley County,SC,TSTM,1.0
Idaho County,ID,TSTM,1.0
Davis County,UT,TSTM,1.0
Okeechobee County,FL,TSTM,1.0
Union County,GA,TSTM,1.0
Tuscaloosa County,AL,TSTM,1.0
Wilcox County,AL,TSTM,1.0
Teton County,ID,TSTM,1.0
Power County,ID,TSTM,1.0
Camden County,NC,TSTM,1.0
Blaine County,ID,TSTM,1.0
St. Johns County,FL,TSTM,1.0
Box Elder County,UT,TSTM,1.0
Elmore County,ID,TSTM,1.0
Habersham County,GA,TSTM,1.0
DeSoto County,FL,TSTM,1.0
Marin County,CA,TSTM,1.0
Glades County,FL,TSTM,1.0
Meriwether County,GA,TSTM,1.0
Chattahoochee County,GA,TSTM,1.0
Mariposa County,CA,TSTM,1.0
Marion County,OR,TSTM,1.0
Marlboro County,SC,TSTM,1.0
Carteret County,NC,TSTM,1.0
Berrien County,GA,TSTM,1.0
Lassen County,CA,TSTM,1.0
Manatee County,FL,TSTM,1.0
Calhoun County,FL,TSTM,1.0
Pasquotank County,NC,TSTM,1.0
Nye County,NV,TSTM,1.0
Nez Perce County,ID,TSTM,1.0
Napa County,CA,TSTM,1.0
Fayette County,GA,TSTM,1.0
Tift County,GA,TSTM,1.0
Gogebic County,MI,TSTM,1.0
Marshall County,AL,TSTM,1.0
Ashland County,WI,TSTM,1.0
Shasta County,CA,TSTM,1.0
Oneida County,WI,TSTM,1.0
St. Bernard Parish,LA,TSTM,1.0
Blount County,TN,TSTM,1.0
Darlington County,SC,TSTM,1.0
Escambia County,AL,TSTM,1.0
Haralson County,GA,TSTM,1.0
Chisago County,MN,TSTM,1.0
Millard County,UT,TSTM,1.0
Morgan County,UT,TSTM,1.0
Blount County,AL,TSTM,1.0
Clay County,GA,TSTM,1.0
Grant County,OR,TSTM,1.0
Coos County,OR,TSTM,1.0
Bartow County,GA,TSTM,1.0
Lake County,FL,TSTM,1.0
Washburn County,WI,TSTM,1.0
Jefferson County,WA,TSTM,1.0
Winona County,MN,TSTM,1.0
Linn County,OR,TSTM,1.0
Monroe County,AL,TSTM,1.0
Hall County,GA,TSTM,1.0
Treutlen County,GA,TSTM,1.0
Calhoun County,GA,TSTM,1.0
Vilas County,WI,TSTM,1.0
Early County,GA,TSTM,1.0
Butte County,ID,TSTM,1.0
Sampson County,NC,TSTM,1.0
Pinellas County,FL,TSTM,1.0
Weber County,UT,TSTM,1.0
Lowndes County,AL,TSTM,1.0
Candler County,GA,TSTM,1.0
Trinity County,CA,TSTM,1.0
Muscogee County,GA,TSTM,1.0
Mendocino County,CA,TSTM,1.0
Coosa County,AL,TSTM,1.0
Douglas County,NV,TSTM,1.0
Franklin County,FL,TSTM,1.0
Goodhue County,MN,TSTM,1.0
Pasco County,FL,TSTM,1.0
Sumter County,FL,TSTM,1.0
Bayfield County,WI,TSTM,1.0
Malheur County,OR,TSTM,1.0
Pike County,AL,TSTM,1.0
Adams County,ID,TSTM,1.0
Mono County,CA,TSTM,1.0
Tuolumne County,CA,TSTM,1.0
Crisp County,GA,TSTM,1.0
Solano County,CA,TSTM,1.0
Seminole County,FL,TSTM,1.0
Talladega County,AL,TSTM,1.0
Carson City,NV,TSTM,1.0
Sumter County,GA,TSTM,1.0
Clarke County,GA,TSTM,1.0
Valley County,ID,TSTM,1.0
Tillamook County,OR,TSTM,1.0
Coweta County,GA,TSTM,1.0
Stone County,MS,TSTM,1.0
Contra Costa County,CA,TSTM,1.0
Marion County,GA,TSTM,1.0
Jasper County,GA,TSTM,1.0
Beaufort County,SC,TSTM,1.0
Columbia County,WA,TSTM,1.0
Minidoka County,ID,TSTM,1.0
Lane County,OR,TSTM,1.0
Bradford County,FL,TSTM,1.0
George County,MS,TSTM,1.0
Jackson County,AL,TSTM,1.0
Union County,OR,TSTM,1.0
Henry County,GA,TSTM,1.0
Pamlico County,NC,TSTM,1.0
McMinn County,TN,TSTM,1.0
Atkinson County,GA,TSTM,1.0
Duval County,FL,TSTM,1.0
Baldwin County,AL,TSTM,1.0
Talbot County,GA,TSTM,1.0
Lenoir County,NC,TSTM,1.0
Martin County,FL,TSTM,1.0
Dawson County,GA,TSTM,1.0
Dixie County,FL,TSTM,1.0
Graham County,NC,TSTM,1.0
Eau Claire County,WI,TSTM,1.0
Sequatchie County,TN,TSTM,1.0
Alpine County,CA,TSTM,1.0
Bullock County,AL,TSTM,1.0
Autauga County,AL,TSTM,1.0
Dodge County,GA,TSTM,1.0
Camden County,GA,TSTM,1.0
Peach County,GA,TSTM,1.0
White County,GA,TSTM,1.0
Sawyer County,WI,TSTM,1.0
Island County,WA,TSTM,1.0
Clallam County,WA,TSTM,1.0
Escambia County,FL,TSTM,1.0
Macon County,AL,TSTM,1.0
El Dorado County,CA,TSTM,1.0
Douglas County,OR,TSTM,1.0
St. Clair County,AL,TSTM,1.0
Dougherty County,GA,TSTM,1.0
Catoosa County,GA,TSTM,1.0
Salt Lake County,UT,TSTM,1.0
Monroe County,FL,TSTM,1.0
Bingham County,ID,TSTM,1.0
Trempealeau County,WI,TSTM,1.0
Yolo County,CA,TSTM,1.0
Sevier County,UT,TSTM,1.0
Choctaw County,AL,TSTM,1.0
Cullman County,AL,TSTM,1.0
Douglas County,GA,TSTM,1.0
Washington County,NC,TSTM,1.0
Morgan County,GA,TSTM,1.0
Yuba County,CA,TSTM,1.0
Shelby County,AL,TSTM,1.0
Bulloch County,GA,TSTM,1.0
Wheeler County,GA,TSTM,1.0
Craven County,NC,TSTM,1.0
Columbia County,OR,TSTM,1.0
Florence County,SC,TSTM,1.0
Evans County,GA,TSTM,1.0
Webster County,GA,TSTM,1.0
Jones County,GA,TSTM,1.0
Gwinnett County,GA,TSTM,1.0
Polk County,WI,TSTM,1.0
Plaquemines Parish,LA,TSTM,1.0
Dallas County,AL,TSTM,1.0
Duplin County,NC,TSTM,1.0
Dakota County,MN,TSTM,1.0
Worth County,GA,TSTM,1.0
Pierce County,GA,TSTM,1.0
Flagler County,FL,TSTM,1.0
Lincoln County,OR,TSTM,1.0
Pike County,GA,TSTM,1.0
Stewart County,GA,TSTM,1.0
Troup County,GA,TSTM,1.0
Humboldt County,CA,TSTM,1.0
