STD_ZIP5,STUSPS,category_x,event_index,category_y
16110,PA,TSTM,1.0,TSTM
16111,PA,TSTM,1.0,TSTM
16125,PA,TSTM,1.0,TSTM
16131,PA,TSTM,1.0,TSTM
16134,PA,TSTM,1.0,TSTM
16146,PA,TSTM,1.0,TSTM
16150,PA,TSTM,1.0,TSTM
16316,PA,TSTM,1.0,TSTM
16401,PA,TSTM,1.0,TSTM
16406,PA,TSTM,1.0,TSTM
16410,PA,TSTM,1.0,TSTM
16411,PA,TSTM,1.0,TSTM
16412,PA,TSTM,1.0,TSTM
16415,PA,TSTM,1.0,TSTM
16417,PA,TSTM,1.0,TSTM
16421,PA,TSTM,1.0,TSTM
16423,PA,TSTM,1.0,TSTM
16424,PA,TSTM,1.0,TSTM
16426,PA,TSTM,1.0,TSTM
16430,PA,TSTM,1.0,TSTM
16433,PA,TSTM,1.0,TSTM
16435,PA,TSTM,1.0,TSTM
16440,PA,TSTM,1.0,TSTM
16443,PA,TSTM,1.0,TSTM
16444,PA,TSTM,1.0,TSTM
16501,PA,TSTM,1.0,TSTM
16502,PA,TSTM,1.0,TSTM
16503,PA,TSTM,1.0,TSTM
16504,PA,TSTM,1.0,TSTM
16505,PA,TSTM,1.0,TSTM
16506,PA,TSTM,1.0,TSTM
16507,PA,TSTM,1.0,TSTM
16508,PA,TSTM,1.0,TSTM
16509,PA,TSTM,1.0,TSTM
16510,PA,TSTM,1.0,TSTM
16511,PA,TSTM,1.0,TSTM
16512,PA,TSTM,1.0,TSTM
16514,PA,TSTM,1.0,TSTM
16541,PA,TSTM,1.0,TSTM
16546,PA,TSTM,1.0,TSTM
42024,KY,TSTM,1.0,TSTM
42053,KY,TSTM,1.0,TSTM
42056,KY,TSTM,1.0,TSTM
42087,KY,TSTM,1.0,TSTM
43001,OH,TSTM,1.0,TSTM
43003,OH,TSTM,1.0,TSTM
43004,OH,TSTM,1.0,TSTM
43006,OH,TSTM,1.0,TSTM
43007,OH,TSTM,1.0,TSTM
43008,OH,TSTM,1.0,TSTM
43009,OH,TSTM,1.0,TSTM
43010,OH,TSTM,1.0,TSTM
43011,OH,TSTM,1.0,TSTM
