STD_ZIP5,STUSPS,category,event_index
28320,NC,TSTM,1.0
28337,NC,TSTM,1.0
28340,NC,TSTM,1.0
28358,NC,TSTM,1.0
28359,NC,TSTM,1.0
28360,NC,TSTM,1.0
28369,NC,TSTM,1.0
28383,NC,TSTM,1.0
28392,NC,TSTM,1.0
28399,NC,TSTM,1.0
28401,NC,TSTM,1.0
28402,NC,TSTM,1.0
28403,NC,TSTM,1.0
28404,NC,TSTM,1.0
28405,NC,TSTM,1.0
28406,NC,TSTM,1.0
28408,NC,TSTM,1.0
28409,NC,TSTM,1.0
28411,NC,TSTM,1.0
28412,NC,TSTM,1.0
28420,NC,TSTM,1.0
28421,NC,TSTM,1.0
28422,NC,TSTM,1.0
28423,NC,TSTM,1.0
28425,NC,TSTM,1.0
28428,NC,TSTM,1.0
28429,NC,TSTM,1.0
28430,NC,TSTM,1.0
28431,NC,TSTM,1.0
28432,NC,TSTM,1.0
28433,NC,TSTM,1.0
28434,NC,TSTM,1.0
28435,NC,TSTM,1.0
28436,NC,TSTM,1.0
28438,NC,TSTM,1.0
28439,NC,TSTM,1.0
28441,NC,TSTM,1.0
28442,NC,TSTM,1.0
28443,NC,TSTM,1.0
28444,NC,TSTM,1.0
28445,NC,TSTM,1.0
28447,NC,TSTM,1.0
28448,NC,TSTM,1.0
28449,NC,TSTM,1.0
28450,NC,TSTM,1.0
28451,NC,TSTM,1.0
28452,NC,TSTM,1.0
28454,NC,TSTM,1.0
28455,NC,TSTM,1.0
28456,NC,TSTM,1.0
28457,NC,TSTM,1.0
28459,NC,TSTM,1.0
28460,NC,TSTM,1.0
28461,NC,TSTM,1.0
28462,NC,TSTM,1.0
28463,NC,TSTM,1.0
28464,NC,TSTM,1.0
28465,NC,TSTM,1.0
28466,NC,TSTM,1.0
28467,NC,TSTM,1.0
28468,NC,TSTM,1.0
28469,NC,TSTM,1.0
28470,NC,TSTM,1.0
28472,NC,TSTM,1.0
28478,NC,TSTM,1.0
28479,NC,TSTM,1.0
28480,NC,TSTM,1.0
28717,NC,TSTM,1.0
28734,NC,TSTM,1.0
28741,NC,TSTM,1.0
28744,NC,TSTM,1.0
28763,NC,TSTM,1.0
28771,NC,TSTM,1.0
28775,NC,TSTM,1.0
28781,NC,TSTM,1.0
28901,NC,TSTM,1.0
28902,NC,TSTM,1.0
28904,NC,TSTM,1.0
28905,NC,TSTM,1.0
28906,NC,TSTM,1.0
28909,NC,TSTM,1.0
29001,SC,TSTM,1.0
29002,SC,TSTM,1.0
29003,SC,TSTM,1.0
29006,SC,TSTM,1.0
