NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Wahkiakum County,WA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
De Baca County,NM,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lancaster County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Nuckolls County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Las Piedras Municipio,PR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Minnehaha County,SD,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Menard County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sierra County,CA,4,MAJOR,202402150600,00Z 02/15/24,00Z 02/18/24
Clinton County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hancock County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hale County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Clay County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Armstrong County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Allen County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
McDuffie County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sauk County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Stone County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Wallowa County,OR,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Beaver County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Jasper County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Henry County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Saguache County,CO,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Chatham County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Rich County,UT,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Adair County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lake County,OH,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Salem city,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Montgomery County,VA,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Hamilton County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Otero County,NM,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Catron County,NM,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Marengo County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lincoln County,WY,3,MODERATE,202402150600,00Z 02/15/24,00Z 02/18/24
Barton County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Calhoun County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Poquoson city,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Pocahontas County,WV,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Clay County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
James City County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Keith County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Phelps County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Calcasieu Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Union Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sequoyah County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
DeKalb County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Steuben County,NY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Forest County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Tangipahoa Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Stafford County,VA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Menominee County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Jasper County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Brantley County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lamar County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Steuben County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Orange County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Fayette County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hampshire County,MA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Allen County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Alamance County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Greenwood County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Suffolk County,MA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Jefferson County,ID,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Gonzales County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Marion County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Alpena County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Wayne County,KY,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
White County,TN,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Fannin County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Doniphan County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Kerr County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hernando County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Wakulla County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Walton County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Chickasaw County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Ketchikan Gateway Borough,AK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Clare County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Republic County,KS,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Volusia County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Canadian County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Quebradillas Municipio,PR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
St. Thomas Island,VI,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Floyd County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Churchill County,NV,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Webster County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hancock County,IL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hutchinson County,SD,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Crook County,OR,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Franklin County,VT,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Marquette County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Davidson County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Clay County,IL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Knox County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Livingston County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Tioga County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Dakota County,NE,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Leelanau County,MI,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Surry County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Refugio County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Butler County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Terrell County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Clayton County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Fremont County,WY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Ohio County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Columbia County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sedgwick County,CO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Musselshell County,MT,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Dauphin County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Moody County,SD,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Putnam County,WV,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sussex County,NJ,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Decatur County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Perry County,IN,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Union County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Boyd County,NE,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Mille Lacs County,MN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Walsh County,ND,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Morgan County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Portage County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
