NAMELSAD,STUSPS,category,event_index
Wahkiakum County,WA,MAJOR,4.0
Sierra County,CA,EXTREME,5.0
Sauk County,WI,LIMITED,1.0
Wallowa County,OR,MINOR,2.0
Saguache County,CO,MODERATE,3.0
Rich County,UT,MODERATE,3.0
Lincoln County,WY,MAJOR,4.0
Pocahontas County,WV,LIMITED,1.0
Jefferson County,ID,MODERATE,3.0
Churchill County,NV,MODERATE,3.0
Crook County,OR,MINOR,2.0
Tioga County,PA,LIMITED,1.0
Fremont County,WY,LIMITED,1.0
Musselshell County,MT,LIMITED,1.0
Walsh County,ND,MINOR,2.0
Uinta County,WY,MODERATE,3.0
Humboldt County,NV,MODERATE,3.0
Clackamas County,OR,MODERATE,3.0
Sioux County,ND,LIMITED,1.0
Cache County,UT,MAJOR,4.0
Kootenai County,ID,MINOR,2.0
La Crosse County,WI,LIMITED,1.0
Custer County,CO,LIMITED,1.0
Wayne County,PA,LIMITED,1.0
Saratoga County,NY,LIMITED,1.0
Jackson County,WI,LIMITED,1.0
Clatsop County,OR,MINOR,2.0
Lewis County,WA,MAJOR,4.0
Chouteau County,MT,MINOR,2.0
Gem County,ID,MINOR,2.0
Meagher County,MT,MODERATE,3.0
La Plata County,CO,LIMITED,1.0
Klamath County,OR,MODERATE,3.0
Oswego County,NY,LIMITED,1.0
Rosebud County,MT,LIMITED,1.0
Ulster County,NY,LIMITED,1.0
Morrow County,OR,MINOR,2.0
San Juan County,CO,MODERATE,3.0
Franklin County,ID,MAJOR,4.0
Madison County,ID,MODERATE,3.0
Sweet Grass County,MT,MINOR,2.0
Clark County,ID,MODERATE,3.0
Burke County,ND,MINOR,2.0
Lewis and Clark County,MT,MODERATE,3.0
Duchesne County,UT,MODERATE,3.0
Jackson County,OR,MAJOR,4.0
Ramsey County,ND,MINOR,2.0
Jerome County,ID,MINOR,2.0
Custer County,ID,MODERATE,3.0
Multnomah County,OR,MINOR,2.0
Sargent County,ND,LIMITED,1.0
Reynolds County,MO,LIMITED,1.0
Baker County,OR,MINOR,2.0
Pitkin County,CO,MODERATE,3.0
Grand Forks County,ND,LIMITED,1.0
