STD_ZIP5,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
00601,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00602,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00603,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00604,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00605,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00606,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00610,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00611,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00612,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00613,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00614,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00616,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00617,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00622,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00623,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00624,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00627,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00637,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00638,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00641,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00646,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00647,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00650,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00652,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00653,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00656,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00659,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00660,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00662,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00664,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00667,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00669,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00670,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00674,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00676,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00677,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00678,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00680,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00681,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00682,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00683,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00685,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
00687,PR,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
