STD_ZIP5,STUSPS,category_x,event_index,category_y
01003,MA,LIMITED,1.0,LIMITED
01011,MA,LIMITED,1.0,LIMITED
01012,MA,LIMITED,1.0,LIMITED
01026,MA,LIMITED,1.0,LIMITED
01032,MA,LIMITED,1.0,LIMITED
01039,MA,LIMITED,1.0,LIMITED
01054,MA,LIMITED,1.0,LIMITED
01070,MA,LIMITED,1.0,LIMITED
01072,MA,LIMITED,1.0,LIMITED
01084,MA,LIMITED,1.0,LIMITED
01088,MA,LIMITED,1.0,LIMITED
01096,MA,LIMITED,1.0,LIMITED
01098,MA,LIMITED,1.0,LIMITED
01201,MA,LIMITED,1.0,LIMITED
01202,MA,LIMITED,1.0,LIMITED
01220,MA,LIMITED,1.0,LIMITED
01222,MA,LIMITED,1.0,LIMITED
01223,MA,LIMITED,1.0,LIMITED
01224,MA,LIMITED,1.0,LIMITED
01225,MA,LIMITED,1.0,LIMITED
01226,MA,LIMITED,1.0,LIMITED
01227,MA,LIMITED,1.0,LIMITED
01230,MA,LIMITED,1.0,LIMITED
01235,MA,LIMITED,1.0,LIMITED
01236,MA,LIMITED,1.0,LIMITED
01237,MA,LIMITED,1.0,LIMITED
01238,MA,LIMITED,1.0,LIMITED
01240,MA,LIMITED,1.0,LIMITED
01245,MA,LIMITED,1.0,LIMITED
01247,MA,LIMITED,1.0,LIMITED
01253,MA,LIMITED,1.0,LIMITED
01254,MA,LIMITED,1.0,LIMITED
01255,MA,LIMITED,1.0,LIMITED
01256,MA,LIMITED,1.0,LIMITED
01257,MA,LIMITED,1.0,LIMITED
01258,MA,LIMITED,1.0,LIMITED
01259,MA,LIMITED,1.0,LIMITED
01266,MA,LIMITED,1.0,LIMITED
01267,MA,LIMITED,1.0,LIMITED
01270,MA,LIMITED,1.0,LIMITED
01301,MA,LIMITED,1.0,LIMITED
01302,MA,LIMITED,1.0,LIMITED
01330,MA,LIMITED,1.0,LIMITED
01331,MA,LIMITED,1.0,LIMITED
01337,MA,LIMITED,1.0,LIMITED
01338,MA,LIMITED,1.0,LIMITED
01339,MA,LIMITED,1.0,LIMITED
01340,MA,LIMITED,1.0,LIMITED
01341,MA,LIMITED,1.0,LIMITED
01342,MA,LIMITED,1.0,LIMITED
01343,MA,LIMITED,1.0,LIMITED
01344,MA,LIMITED,1.0,LIMITED
01346,MA,LIMITED,1.0,LIMITED
01349,MA,LIMITED,1.0,LIMITED
01350,MA,LIMITED,1.0,LIMITED
01351,MA,LIMITED,1.0,LIMITED
01354,MA,LIMITED,1.0,LIMITED
01355,MA,LIMITED,1.0,LIMITED
01360,MA,LIMITED,1.0,LIMITED
01364,MA,LIMITED,1.0,LIMITED
01366,MA,LIMITED,1.0,LIMITED
01367,MA,LIMITED,1.0,LIMITED
01368,MA,LIMITED,1.0,LIMITED
01370,MA,LIMITED,1.0,LIMITED
01373,MA,LIMITED,1.0,LIMITED
01375,MA,LIMITED,1.0,LIMITED
01376,MA,LIMITED,1.0,LIMITED
01378,MA,LIMITED,1.0,LIMITED
01379,MA,LIMITED,1.0,LIMITED
01380,MA,LIMITED,1.0,LIMITED
01430,MA,LIMITED,1.0,LIMITED
01431,MA,LIMITED,1.0,LIMITED
01436,MA,LIMITED,1.0,LIMITED
01438,MA,LIMITED,1.0,LIMITED
01440,MA,LIMITED,1.0,LIMITED
01452,MA,LIMITED,1.0,LIMITED
01468,MA,LIMITED,1.0,LIMITED
01473,MA,LIMITED,1.0,LIMITED
01475,MA,LIMITED,1.0,LIMITED
01543,MA,LIMITED,1.0,LIMITED
01612,MA,LIMITED,1.0,LIMITED
03031,NH,LIMITED,1.0,LIMITED
03032,NH,LIMITED,1.0,LIMITED
03034,NH,LIMITED,1.0,LIMITED
03036,NH,LIMITED,1.0,LIMITED
03037,NH,LIMITED,1.0,LIMITED
