STD_ZIP5,STUSPS,category,event_index
01008,MA,LIMITED,1.0
01011,MA,LIMITED,1.0
01012,MA,LIMITED,1.0
01026,MA,LIMITED,1.0
01032,MA,LIMITED,1.0
01050,MA,LIMITED,1.0
01070,MA,LIMITED,1.0
01084,MA,LIMITED,1.0
01096,MA,LIMITED,1.0
01098,MA,LIMITED,1.0
01201,MA,LIMITED,1.0
01202,MA,LIMITED,1.0
01220,MA,LIMITED,1.0
01223,MA,LIMITED,1.0
01224,MA,LIMITED,1.0
01225,MA,LIMITED,1.0
01226,MA,LIMITED,1.0
01227,MA,LIMITED,1.0
01235,MA,LIMITED,1.0
01236,MA,LIMITED,1.0
01237,MA,LIMITED,1.0
01238,MA,LIMITED,1.0
01240,MA,LIMITED,1.0
01245,MA,LIMITED,1.0
01247,MA,LIMITED,1.0
01253,MA,LIMITED,1.0
01254,MA,LIMITED,1.0
01256,MA,LIMITED,1.0
01266,MA,LIMITED,1.0
01267,MA,LIMITED,1.0
01270,MA,LIMITED,1.0
01330,MA,LIMITED,1.0
01338,MA,LIMITED,1.0
01339,MA,LIMITED,1.0
01340,MA,LIMITED,1.0
01341,MA,LIMITED,1.0
01343,MA,LIMITED,1.0
01346,MA,LIMITED,1.0
01350,MA,LIMITED,1.0
01367,MA,LIMITED,1.0
01370,MA,LIMITED,1.0
01501,MA,LIMITED,1.0
01507,MA,LIMITED,1.0
01508,MA,LIMITED,1.0
01509,MA,LIMITED,1.0
01516,MA,LIMITED,1.0
01519,MA,LIMITED,1.0
01524,MA,LIMITED,1.0
01525,MA,LIMITED,1.0
01527,MA,LIMITED,1.0
01534,MA,LIMITED,1.0
01536,MA,LIMITED,1.0
01537,MA,LIMITED,1.0
01540,MA,LIMITED,1.0
01542,MA,LIMITED,1.0
01543,MA,LIMITED,1.0
01550,MA,LIMITED,1.0
01560,MA,LIMITED,1.0
01562,MA,LIMITED,1.0
01568,MA,LIMITED,1.0
01570,MA,LIMITED,1.0
01571,MA,LIMITED,1.0
01586,MA,LIMITED,1.0
01588,MA,LIMITED,1.0
01590,MA,LIMITED,1.0
01601,MA,LIMITED,1.0
01602,MA,LIMITED,1.0
01603,MA,LIMITED,1.0
01604,MA,LIMITED,1.0
01607,MA,LIMITED,1.0
01608,MA,LIMITED,1.0
01609,MA,LIMITED,1.0
01610,MA,LIMITED,1.0
01611,MA,LIMITED,1.0
01612,MA,LIMITED,1.0
01613,MA,LIMITED,1.0
03215,NH,LIMITED,1.0
03227,NH,LIMITED,1.0
03251,NH,MINOR,2.0
03254,NH,LIMITED,1.0
03259,NH,LIMITED,1.0
03262,NH,LIMITED,1.0
03561,NH,LIMITED,1.0
03570,NH,MINOR,2.0
03574,NH,LIMITED,1.0
03576,NH,LIMITED,1.0
03579,NH,MINOR,2.0
03580,NH,LIMITED,1.0
03581,NH,MINOR,2.0
03582,NH,LIMITED,1.0
03583,NH,MINOR,2.0
03584,NH,LIMITED,1.0
03585,NH,LIMITED,1.0
03586,NH,LIMITED,1.0
03588,NH,MINOR,2.0
03590,NH,LIMITED,1.0
03593,NH,MINOR,2.0
03595,NH,MINOR,2.0
03598,NH,LIMITED,1.0
03740,NH,LIMITED,1.0
03755,NH,LIMITED,1.0
03765,NH,LIMITED,1.0
03766,NH,LIMITED,1.0
03771,NH,LIMITED,1.0
03774,NH,LIMITED,1.0
03779,NH,LIMITED,1.0
03780,NH,LIMITED,1.0
03781,NH,LIMITED,1.0
03784,NH,LIMITED,1.0
03785,NH,LIMITED,1.0
03850,NH,LIMITED,1.0
04441,ME,LIMITED,1.0
04442,ME,LIMITED,1.0
04478,ME,LIMITED,1.0
04485,ME,LIMITED,1.0
04732,ME,LIMITED,1.0
04734,ME,LIMITED,1.0
04736,ME,LIMITED,1.0
04739,ME,LIMITED,1.0
04740,ME,LIMITED,1.0
04742,ME,LIMITED,1.0
04743,ME,LIMITED,1.0
04744,ME,LIMITED,1.0
04745,ME,LIMITED,1.0
04746,ME,LIMITED,1.0
04750,ME,LIMITED,1.0
04757,ME,LIMITED,1.0
04758,ME,LIMITED,1.0
04762,ME,LIMITED,1.0
04764,ME,LIMITED,1.0
04766,ME,LIMITED,1.0
04768,ME,LIMITED,1.0
04769,ME,LIMITED,1.0
04772,ME,LIMITED,1.0
04773,ME,LIMITED,1.0
04774,ME,LIMITED,1.0
04779,ME,LIMITED,1.0
04781,ME,LIMITED,1.0
04783,ME,LIMITED,1.0
04785,ME,LIMITED,1.0
04786,ME,LIMITED,1.0
04787,ME,LIMITED,1.0
04936,ME,MODERATE,3.0
04945,ME,LIMITED,1.0
04964,ME,MODERATE,3.0
04970,ME,MODERATE,3.0
04982,ME,MODERATE,3.0
05001,VT,LIMITED,1.0
05031,VT,LIMITED,1.0
05032,VT,LIMITED,1.0
05033,VT,LIMITED,1.0
05034,VT,LIMITED,1.0
05035,VT,LIMITED,1.0
05036,VT,LIMITED,1.0
05037,VT,LIMITED,1.0
05038,VT,LIMITED,1.0
05039,VT,LIMITED,1.0
05040,VT,LIMITED,1.0
05041,VT,LIMITED,1.0
05042,VT,LIMITED,1.0
05046,VT,LIMITED,1.0
05047,VT,LIMITED,1.0
05048,VT,LIMITED,1.0
05049,VT,LIMITED,1.0
05050,VT,LIMITED,1.0
05051,VT,LIMITED,1.0
05052,VT,LIMITED,1.0
05053,VT,LIMITED,1.0
05055,VT,LIMITED,1.0
05056,VT,LIMITED,1.0
05058,VT,LIMITED,1.0
05059,VT,LIMITED,1.0
05060,VT,LIMITED,1.0
05061,VT,LIMITED,1.0
05062,VT,LIMITED,1.0
05065,VT,LIMITED,1.0
05067,VT,LIMITED,1.0
05068,VT,LIMITED,1.0
05069,VT,LIMITED,1.0
05070,VT,LIMITED,1.0
05071,VT,LIMITED,1.0
05072,VT,LIMITED,1.0
05073,VT,LIMITED,1.0
05074,VT,LIMITED,1.0
05075,VT,LIMITED,1.0
05076,VT,LIMITED,1.0
05077,VT,LIMITED,1.0
05079,VT,LIMITED,1.0
05081,VT,LIMITED,1.0
